Device,Reg,Bit
CKMN,0x6,19
MCHECK,0x6,18
SPI0,0x6,16
UART0,0x6,15
TIMER0,0x6,14
APB_WDT,0x6,13
FLASH,0x6,6
SYS,0x6,5
REG,0x6,0
PRAM,0x7,4
LA,0x7,2
QSPI1,0x7,1
DMA0,0x7,0
LED,0x8,12
SDIO,0x8,11
TRNG,0x8,10
I2S,0x8,9
PWM0,0x8,8
SADC,0x8,7
SPI1,0x8,6
I2C1,0x8,5
I2C0,0x8,4
UART2,0x8,3
UART1,0x8,2
UART3,0x8,1
TIMER1,0x8,0
USB,0x9,0
I2S2,0xa,8
I2S1,0xa,7
I2S0,0xa,6
MOD,0xc,1
MAC,0xc,0
XVR,0xd,5
BTDM,0xd,0
THREAD_AHB,0xe,11
RFCTRL_AHB_CHK,0xe,8
RFCTRL_AHB_RCBEKEN,0xe,3
TRXCHK_M,0xf,7
LA_M,0xf,6
BTDM_M,0xf,5
HSU_M,0xf,4
MAC_M,0xf,3
