Device,Reg,Bit
CKMN,0x6,26
MCHECK,0x6,25
SPI0,0x6,23
UART0,0x6,22
TIMER0,0x6,21
APB_WDT,0x6,20
FLASH,0x6,10
SYS,0x6,9
AON,0x6,8
PRAM,0x7,9
LA,0x7,7
QSPI1,0x7,6
DMA0,0x7,5
LED,0x8,26
SDIO,0x8,25
TRNG,0x8,24
I2S,0x8,23
PWM0,0x8,22
SADC,0x8,21
SPI1,0x8,20
I2C1,0x8,19
I2C0,0x8,18
UART2,0x8,17
UART1,0x8,16
UART3,0x8,15
TIMER1,0x8,14
USB,0x9,7
I2S2,0xa,12
I2S1,0xa,11
I2S0,0xa,10
MOD,0xc,3
MAC,0xc,2
XVR,0xd,6
BTDM,0xd,2
THREAD_AHB,0xe,12
RFCTRL_APB_CHK,0xe,9
RFCTRL_AHB_RCBEKEN,0xe,5
PPRO_MPC,0xe,2
